=== Restore-All from Backup ===
Vault:   C:\Users\Sean\Documents\SecondBrain
[RESTORED] (191 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033315f312e6d64.md
[RESTORED] (802 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033315f31312e6d64.md
[RESTORED] (484 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033315f31322e6d64.md
[RESTORED] (687 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033315f31352e6d64.md
[RESTORED] (305 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033315f31382e6d64.md
[RESTORED] (132 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033315f31392e6d64.md
[RESTORED] (606 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033315f322e6d64.md
[RESTORED] (210 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033315f32312e6d64.md
[RESTORED] (336 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033315f32322e6d64.md
[RESTORED] (400 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033315f32332e6d64.md
[RESTORED] (263 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033315f32362e6d64.md
[RESTORED] (260 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033315f32372e6d64.md
[RESTORED] (454 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033315f32392e6d64.md
[RESTORED] (511 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033315f332e6d64.md
[RESTORED] (417 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033315f33302e6d64.md
[RESTORED] (1507 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033315f33312e6d64.md
[RESTORED] (1327 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033315f33332e6d64.md
[RESTORED] (1040 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033315f33342e6d64.md
[RESTORED] (532 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033315f33352e6d64.md
[RESTORED] (336 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033315f33382e6d64.md
[RESTORED] (284 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033315f33392e6d64.md
[RESTORED] (574 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033315f342e6d64.md
[RESTORED] (180 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033315f34302e6d64.md
[RESTORED] (398 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033315f352e6d64.md
[RESTORED] (630 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033315f362e6d64.md
[RESTORED] (268 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033315f382e6d64.md
[RESTORED] (557 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033315f392e6d64.md
[RESTORED] (268 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033325f312e6d64.md
[RESTORED] (359 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033325f31342e6d64.md
[RESTORED] (346 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033325f31352e6d64.md
[RESTORED] (526 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033325f31372e6d64.md
[RESTORED] (314 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033325f322e6d64.md
[RESTORED] (207 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033325f32302e6d64.md
[RESTORED] (164 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033325f32312e6d64.md
[RESTORED] (406 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033325f32362e6d64.md
[RESTORED] (215 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033325f32392e6d64.md
[RESTORED] (131 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033325f33332e6d64.md
[RESTORED] (287 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033325f33352e6d64.md
[RESTORED] (346 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033325f33372e6d64.md
[RESTORED] (218 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033325f33392e6d64.md
[RESTORED] (114 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033325f342e6d64.md
[RESTORED] (136 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033325f34302e6d64.md
[RESTORED] (235 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033325f34342e6d64.md
[RESTORED] (575 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033325f372e6d64.md
[RESTORED] (189 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033325f392e6d64.md
[RESTORED] (314 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033335f31312e6d64.md
[RESTORED] (507 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033335f31322e6d64.md
[RESTORED] (406 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033335f31342e6d64.md
[RESTORED] (225 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033335f31372e6d64.md
[RESTORED] (608 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033335f31382e6d64.md
[RESTORED] (308 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033335f322e6d64.md
[RESTORED] (541 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033335f32302e6d64.md
[RESTORED] (245 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033335f32322e6d64.md
[RESTORED] (283 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033335f32342e6d64.md
[RESTORED] (274 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033335f32362e6d64.md
[RESTORED] (194 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033335f332e6d64.md
[RESTORED] (317 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033335f342e6d64.md
[RESTORED] (367 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033335f362e6d64.md
[RESTORED] (215 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033335f392e6d64.md
[RESTORED] (1004 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033345f312e6d64.md
[RESTORED] (729 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033345f31352e6d64.md
[RESTORED] (456 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033345f31382e6d64.md
[RESTORED] (654 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033345f342e6d64.md
[RESTORED] (467 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033345f372e6d64.md
[RESTORED] (577 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033345f382e6d64.md
[RESTORED] (204 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033355f312e6d64.md
[RESTORED] (532 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033355f31392e6d64.md
[RESTORED] (249 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033355f322e6d64.md
[RESTORED] (174 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033355f332e6d64.md
[RESTORED] (360 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033355f342e6d64.md
[RESTORED] (912 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033355f362e6d64.md
[RESTORED] (198 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033365f312e6d64.md
[RESTORED] (416 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033365f31302e6d64.md
[RESTORED] (345 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033365f31322e6d64.md
[RESTORED] (460 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033365f322e6d64.md
[RESTORED] (435 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033365f32312e6d64.md
[RESTORED] (147 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033365f32322e6d64.md
[RESTORED] (231 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033365f32332e6d64.md
[RESTORED] (446 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033365f32362e6d64.md
[RESTORED] (258 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033365f32382e6d64.md
[RESTORED] (210 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033365f332e6d64.md
[RESTORED] (268 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033365f33302e6d64.md
[RESTORED] (216 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033365f342e6d64.md
[RESTORED] (258 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033365f352e6d64.md
[RESTORED] (137 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033365f392e6d64.md
[RESTORED] (755 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033375f312e6d64.md
[RESTORED] (352 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033375f31322e6d64.md
[RESTORED] (146 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033375f31352e6d64.md
[RESTORED] (143 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033375f31362e6d64.md
[RESTORED] (317 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033375f31372e6d64.md
[RESTORED] (387 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033375f32312e6d64.md
[RESTORED] (305 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033375f332e6d64.md
[RESTORED] (407 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033375f352e6d64.md
[RESTORED] (419 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033385f312e6d64.md
[RESTORED] (149 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033385f31322e6d64.md
[RESTORED] (344 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033385f31342e6d64.md
[RESTORED] (354 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033385f31372e6d64.md
[RESTORED] (163 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033385f31392e6d64.md
[RESTORED] (130 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033385f322e6d64.md
[RESTORED] (478 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033385f32322e6d64.md
[RESTORED] (307 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033385f32342e6d64.md
[RESTORED] (315 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033385f352e6d64.md
[RESTORED] (296 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033385f362e6d64.md
[RESTORED] (670 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033385f372e6d64.md
[RESTORED] (139 bytes)  .obsidian\plugins\IonSync\data\shadow\41746c61732f46616974682026204d696e69737472792f4269626c652f5374756479204e6f7465732f5374756479204e6f74657320466f72204a6572656d6961682f5354554459204e4f54455320464f52204a4552454d4941482033395f312e6d64.md
